,Player,Price,Pos,Team
1,Christian McCaffrey,75.5,RB,Car
4,Saquon Barkley,71.4,RB,NYG
7,Ezekiel Elliott,63.1,RB,Dal
10,Alvin Kamara,60.7,RB,NO
13,Derrick Henry,57.9,RB,Ten
16,Michael Thomas,55.6,WR,NO
19,Dalvin Cook,57.9,RB,Min
22,Patrick Mahomes,38.5,QB,KC
25,Davante Adams,48.6,WR,GB
28,Joe Mixon,50.3,RB,Cin
32,Tyreek Hill,47,WR,KC
36,Nick Chubb,47.9,RB,Cle
39,Clyde Edwards-Helaire,46.6,RB,KC
42,Julio Jones,43.1,WR,Atl
45,Lamar Jackson,36.2,QB,Bal
48,Kenyan Drake,44.5,RB,Ari
52,DeAndre Hopkins,41.6,WR,Ari
55,Travis Kelce,40.1,TE,KC
58,Josh Jacobs,43.9,RB,LV
61,Miles Sanders,41.3,RB,Phi
65,Aaron Jones,41.1,RB,GB
68,George Kittle,35.5,TE,SF
72,Austin Ekeler,38.2,RB,LAC
75,Chris Godwin,31.8,WR,TB
78,Kenny Golladay,26.1,WR,Det
81,Odell Beckham Jr.,25.9,WR,Cle
84,Mike Evans,25.5,WR,TB
87,Allen Robinson II,24.2,WR,Chi
91,Adam Thielen,23.5,WR,Min
94,James Conner,21.7,RB,Pit
97,Todd Gurley II,22.4,RB,Atl
100,Melvin Gordon III,21.9,RB,Den
103,Chris Carson,22.9,RB,Sea
106,JuJu Smith-Schuster,20.3,WR,Pit
109,Mark Andrews,19.5,TE,Bal
112,Amari Cooper,17.7,WR,Dal
115,Jonathan Taylor,20.6,RB,Ind
118,A.J. Brown,17.4,WR,Ten
122,DJ Moore,19.5,WR,Car
125,Mark Ingram II,14.6,RB,Bal
128,Leonard Fournette,17.2,RB,Jax
131,Russell Wilson,11.3,QB,Sea
134,Dak Prescott,12.2,QB,Dal
137,Cooper Kupp,13.8,WR,LAR
140,Le'Veon Bell,15.9,RB,NYJ
143,Zach Ertz,13.7,TE,Phi
146,Calvin Ridley,11.8,WR,Atl
149,Kyler Murray,10.5,QB,Ari
152,Tyler Lockett,8.9,WR,Sea
155,Terry McLaurin,9.8,WR,Was
159,Raheem Mostert,12.2,RB,SF
162,Deshaun Watson,8.6,QB,Hou
165,Courtland Sutton,9.7,WR,Den
168,DK Metcalf,9.5,WR,Sea
171,DJ Chark Jr.,9.7,WR,Jax
174,Devin Singletary,11.9,RB,Buf
177,Darren Waller,8.8,TE,LV
180,David Montgomery,11.5,RB,Chi
184,David Johnson,13,RB,Hou
187,Keenan Allen,8,WR,LAC
190,DeVante Parker,7.8,WR,Mia
193,D'Andre Swift,9.1,RB,Det
197,Tyler Higbee,3.7,TE,LAR
200,Robert Woods,9.7,WR,LAR
203,Hunter Henry,4,TE,LAC
206,Josh Allen,4.2,QB,Buf
209,Stefon Diggs,5.9,WR,Buf
213,T.Y. Hilton,6.8,WR,Ind
216,Drew Brees,3.9,QB,NO
219,Cam Akers,8.6,RB,LAR
222,Jared Cook,2.8,TE,NO
225,Matt Ryan,3.2,QB,Atl
228,Kareem Hunt,6.8,RB,Cle
231,Rob Gronkowski,3.7,TE,TB
234,Michael Gallup,4.5,WR,Dal
237,Marquise Brown,4.3,WR,Bal
240,Tom Brady,3.4,QB,TB
243,A.J. Green,5,WR,Cin
246,Ronald Jones II,5.1,RB,TB
250,Evan Engram,2.9,TE,NYG
253,Tyler Boyd,3.6,WR,Cin
256,Damien Williams,3.9,RB,KC
260,Derrius Guice,4.7,RB,Was
264,Jarvis Landry,3.1,WR,Cle
267,Carson Wentz,2.8,QB,Phi
270,J.K. Dobbins,5.2,RB,Bal
273,Deebo Samuel,4.1,WR,SF
277,Jordan Howard,2.6,RB,Mia
280,Aaron Rodgers,2.6,QB,GB
283,Will Fuller V,2.8,WR,Hou
286,Matt Breida,2.3,RB,Mia
289,Julian Edelman,2.4,WR,NE
292,Matthew Stafford,1.9,QB,Det
295,Sony Michel,2.9,RB,NE
298,Phillip Lindsay,2.3,RB,Den
301,Hayden Hurst,2.5,TE,Atl
304,Marlon Mack,2.3,RB,Ind
307,James White,2,RB,NE
310,Diontae Johnson,1.8,WR,Pit
314,Austin Hooper,1.8,TE,Cle
317,John Brown,1.5,WR,Buf
320,Brandin Cooks,2.4,WR,Hou
323,CeeDee Lamb,2,WR,Dal
326,Marvin Jones Jr.,1.7,WR,Det
329,Gardner Minshew II,1.1,QB,Jax
332,Darius Slayton,1.4,WR,NYG
335,Cam Newton,1.6,QB,NE
338,Jerry Jeudy,1.8,WR,Den
341,Ke'Shawn Vaughn,1.8,RB,TB
344,Ben Roethlisberger,1.4,QB,Pit
347,Tarik Cohen,1.7,RB,Chi
350,Tevin Coleman,1.6,RB,SF
353,Alexander Mattison,2.4,RB,Min
356,Antonio Gibson,2,RB,Was
359,Joe Burrow,1.6,QB,Cin
362,Emmanuel Sanders,1.5,WR,NO
365,Zack Moss,2.7,RB,Buf
368,Kerryon Johnson,1.8,RB,Det
371,Kyle Rudolph,1.4,TE,Min
374,Noah Fant,1.5,TE,Den
377,Jimmy Graham,1,TE,Chi
380,Derek Carr,1.3,QB,LV
383,Mike Gesicki,1.3,TE,Mia
386,Darrell Henderson Jr.,1.4,RB,LAR
390,Latavius Murray,1.8,RB,NO
393,Baker Mayfield,1.3,QB,Cle
396,Jimmy Garoppolo,1.6,QB,SF
399,Henry Ruggs III,1.3,WR,LV
402,Adrian Peterson,1.3,RB,Was
405,Damien Harris,1.9,RB,NE
408,Jalen Reagor,1.6,WR,Phi
411,Teddy Bridgewater,1,QB,Car
414,Larry Fitzgerald,1.1,WR,Ari
417,Tua Tagovailoa,1.2,QB,Mia
420,O.J. Howard,1.2,TE,TB
423,Mecole Hardman,1.6,WR,KC
426,Jamison Crowder,1.3,WR,NYJ
429,Philip Rivers,1.1,QB,Ind
432,Greg Olsen,1.2,TE,Sea
435,Sam Darnold,1.1,QB,NYJ
438,LeSean McCoy,1.1,RB,TB
441,Will Dissly,1.7,TE,Sea
445,Drew Lock,1.3,QB,Den
448,Chase Edmonds,2.1,RB,Ari
451,T.J. Hockenson,1.5,TE,Det
454,Tony Pollard,1.6,RB,Dal
457,Mike Williams,1.2,WR,LAC
461,Ryan Tannehill,1.7,QB,Ten
464,Justin Jefferson,1.3,WR,Min
467,Daniel Jones,1.3,QB,NYG
471,Christian Kirk,1.3,WR,Ari
474,Sammy Watkins,1.3,WR,KC
478,Jonnu Smith,1.3,TE,Ten
481,DeSean Jackson,1.2,WR,Phi
484,Jared Goff,1.2,QB,LAR
487,Hunter Renfrow,1.1,WR,LV
490,AJ Dillon,1.2,RB,GB
493,Eric Ebron,1,TE,Pit
497,Carlos Hyde,1.1,RB,Sea
500,Golden Tate,1.1,WR,NYG
503,Kirk Cousins,1.1,QB,Min
506,Duke Johnson,1.2,RB,Hou
509,Blake Jarwin,1.2,TE,Dal
512,Sterling Shepard,1.1,WR,NYG
515,Allen Lazard,1.4,WR,GB
518,Dallas Goedert,1.2,TE,Phi
521,Curtis Samuel,1.2,WR,Car
524,Preston Williams,1.3,WR,Mia
527,Devonta Freeman,1.3,RB,Atl
530,Boston Scott,1.3,RB,Phi
533,Jerick McKinnon,1.2,RB,SF
536,Michael Pittman Jr.,1.2,WR,Ind
539,Brandon Aiyuk,1.4,WR,SF
543,Breshad Perriman,1.1,WR,NYJ
547,Alshon Jeffery,1.2,WR,Phi
551,Justin Jackson,1.3,RB,LAC
554,Anthony Miller,1.2,WR,Chi
557,Antonio Brown,1.4,WR,NE
561,Robby Anderson,1.1,WR,Car
564,N'Keal Harry,1.1,WR,NE
567,Irv Smith Jr.,1,TE,Min
570,Jack Doyle,1.1,TE,Ind
573,Chris Herndon,1.2,TE,NYJ
,Vance McDonald,1,TE,Pit
,Cole Beasley,1,WR,Buf
,Dede Westbrook,1,WR,Jax
,Chris Herndon,1,TE,NYJ
,Steven Sims,1,WR,Was
,Danny Amendola,1,WR,Det
,Corey Davis,1,WR,Ten
,Ian Thomas,1,TE,Car
,Randall Cobb,1,WR,Hou
,Josh Reynolds,1,WR,LAR
,Nyheim Hines,1,RB,Ind
,Chris Conley,1,WR,Jax
,Parris Campbell,1,WR,Ind
