,Player,Price,Pos,Team
1,Christian McCaffrey,73.2,RB,Car
4,Dalvin Cook,65.8,RB,Min
7,Derrick Henry,66.5,RB,Ten
10,Alvin Kamara,62.4,RB,NO
13,Ezekiel Elliott,59.5,RB,Dal
16,Nick Chubb,57.3,RB,Cle
19,Saquon Barkley,57.4,RB,NYG
23,Tyreek Hill,55.6,WR,KC
26,Aaron Jones,54.9,RB,GB
29,Jonathan Taylor,54.4,RB,Ind
32,Travis Kelce,51.7,TE,KC
35,Davante Adams,53.3,WR,GB
38,Stefon Diggs,51.7,WR,Buf
42,Patrick Mahomes,35.5,QB,KC
45,Austin Ekeler,46.6,RB,LAC
48,Najee Harris,41.5,RB,Pit
51,Antonio Gibson,43.4,RB,Was
54,Calvin Ridley,38.6,WR,Atl
57,DeAndre Hopkins,42.4,WR,Ari
61,Justin Jefferson,36.8,WR,Min
65,DK Metcalf,36.9,WR,Sea
68,Joe Mixon,38.2,RB,Cin
71,A.J. Brown,36.1,WR,Ten
75,Clyde Edwards-Helaire,34.9,RB,KC
79,Cam Akers,40.9,RB,LAR
83,J.K. Dobbins,30.7,RB,Bal
86,Darren Waller,27,TE,LV
89,Terry McLaurin,27,WR,Was
92,George Kittle,27.7,TE,SF
95,Josh Allen,20.8,QB,Buf
98,Allen Robinson II,26.3,WR,Chi
101,Keenan Allen,26,WR,LAC
104,David Montgomery,25,RB,Chi
107,Chris Carson,24.1,RB,Sea
110,CeeDee Lamb,20.5,WR,Dal
114,Chris Godwin,18.4,WR,TB
117,Mike Evans,19.7,WR,TB
120,Josh Jacobs,15.8,RB,LV
123,Miles Sanders,22.3,RB,Phi
126,D'Andre Swift,21,RB,Det
130,Lamar Jackson,13.7,QB,Bal
133,Darrell Henderson Jr.,18.3,RB,LAR
137,Robert Woods,12.8,WR,LAR
140,Amari Cooper,14,WR,Dal
143,Kyler Murray,11.9,QB,Ari
146,Cooper Kupp,11.4,WR,LAR
149,Julio Jones,13.1,WR,Ten
153,T.J. Hockenson,10.3,TE,Det
157,Kyle Pitts,10.8,TE,Atl
160,Mark Andrews,9.4,TE,Bal
165,Adam Thielen,9,WR,Min
169,Tyler Lockett,8.5,WR,Sea
173,Dak Prescott,8.7,QB,Dal
177,DJ Moore,9.5,WR,Car
181,Russell Wilson,7,QB,Sea
184,Myles Gaskin,9.7,RB,Mia
187,Kareem Hunt,8.5,RB,Cle
190,Travis Etienne,7.9,RB,Jax
194,Justin Herbert,5.7,QB,LAC
197,Aaron Rodgers,5.7,QB,GB
200,Diontae Johnson,5.9,WR,Pit
203,Brandon Aiyuk,6.3,WR,SF
206,Tom Brady,4,QB,TB
209,Mike Davis,7.5,RB,Atl
212,Tyler Higbee,2.8,TE,LAR
215,Chase Edmonds,6.7,RB,Ari
218,Odell Beckham Jr.,4.9,WR,Cle
222,Ronald Jones II,4.1,RB,TB
225,Jalen Hurts,3.1,QB,Phi
228,James Robinson,4.7,RB,Jax
231,Tee Higgins,3.8,WR,Cin
234,Chase Claypool,3.5,WR,Pit
238,Kenny Golladay,4.8,WR,NYG
242,Damien Harris,4.8,RB,NE
245,Ja'Marr Chase,3.6,WR,Cin
248,Dallas Goedert,3.1,TE,Phi
251,Raheem Mostert,4.2,RB,SF
254,Javonte Williams,4.6,RB,Den
257,Robert Tonyan,2.2,TE,GB
260,Noah Fant,2.7,TE,Den
264,Trey Sermon,4.1,RB,SF
267,Robby Anderson,2.9,WR,Car
270,Deebo Samuel,2.6,WR,SF
273,JuJu Smith-Schuster,2.3,WR,Pit
276,Logan Thomas,2,TE,Was
279,Leonard Fournette,3.2,RB,TB
282,Ryan Tannehill,2.6,QB,Ten
285,Michael Thomas,10.9,WR,NO
289,Melvin Gordon III,4.9,RB,Den
292,Jerry Jeudy,2.5,WR,Den
295,Matthew Stafford,2.5,QB,LAR
298,Courtland Sutton,1.9,WR,Den
302,David Johnson,2,RB,Hou
305,Michael Carter,2.8,RB,NYJ
308,Zack Moss,2.2,RB,Buf
311,DJ Chark Jr.,1.7,WR,Jax
315,Tyler Boyd,1.5,WR,Cin
318,Rob Gronkowski,1.5,TE,TB
321,AJ Dillon,1.9,RB,GB
324,Antonio Brown,2.1,WR,TB
328,James Conner,1.8,RB,Ari
331,Brandin Cooks,1.4,WR,Hou
334,Joe Burrow,1.6,QB,Cin
337,Mike Gesicki,1.4,TE,Mia
340,DeVonta Smith,1.8,WR,Phi
343,Kenyan Drake,1.5,RB,LV
346,Will Fuller V,1.5,WR,Mia
350,Gus Edwards,1.4,RB,Bal
353,Jarvis Landry,1.4,WR,Cle
