,index,Player,Team,FP,POS
0,1,Josh Allen,BUF,380.29,QB
1,2,Patrick Mahomes II,KC,377.23199999999997,QB
2,3,Kyler Murray,ARI,358.6040000000001,QB
3,4,Lamar Jackson,BAL,348.08600000000007,QB
5,5,Dak Prescott,DAL,341.55200000000013,QB
6,6,Russell Wilson,SEA,333.17199999999997,QB
7,7,Aaron Rodgers,GB,332.856,QB
8,8,Justin Herbert,LAC,329.684,QB
9,9,Tom Brady,TB,323.038,QB
11,10,Jalen Hurts,PHI,305.066,QB
12,11,Ryan Tannehill,TEN,304.124,QB
14,12,Joe Burrow,CIN,286.156,QB
15,13,Matthew Stafford,LAR,283.14200000000005,QB
19,14,Matt Ryan,ATL,274.5659999999999,QB
16,2,Davante Adams,GB,282.7100000000001,WR
17,1,Tyreek Hill,KC,279.17,WR
27,3,Stefon Diggs,BUF,259.94,WR
32,5,DeAndre Hopkins,ARI,251.5,WR
38,4,Calvin Ridley,ATL,245.71000000000004,WR
45,7,Justin Jefferson,MIN,231.87,WR
47,6,D.K. Metcalf,SEA,230.14,WR
49,8,A.J. Brown,TEN,226.83,WR
50,9,Keenan Allen,LAC,224.21,WR
53,11,Allen Robinson II,CHI,212.7,WR
56,12,Terry McLaurin,WAS,208.81,WR
57,13,Amari Cooper,DAL,207.76,WR
59,15,Robert Woods,LAR,207.38,WR
64,10,Mike Evans,TB,204.44,WR
65,17,Tyler Lockett,SEA,202.26,WR
67,14,Adam Thielen,MIN,198.91,WR
68,16,CeeDee Lamb,DAL,198.71000000000004,WR
70,20,Cooper Kupp,LAR,197.49,WR
71,19,D.J. Moore,CAR,193.18,WR
72,21,Chris Godwin,TB,191.43,WR
73,18,Julio Jones,TEN,191.01,WR
78,23,Tee Higgins,CIN,183.47,WR
79,29,Diontae Johnson,PIT,183.39,WR
81,25,Courtland Sutton,DEN,180.06,WR
82,24,Odell Beckham Jr.,CLE,179.45,WR
83,22,Kenny Golladay,NYG,179.42999999999995,WR
84,26,Brandon Aiyuk,SF,176.39,WR
85,27,Ja'Marr Chase,CIN,175.62999999999997,WR
86,30,Brandin Cooks,HOU,173.70999999999995,WR
87,35,JuJu Smith-Schuster,PIT,173.24,WR
88,28,Chase Claypool,PIT,171.04000000000005,WR
89,33,Robby Anderson,CAR,170.76999999999995,WR
91,31,D.J. Chark Jr.,JAC,169.08999999999997,WR
93,37,Tyler Boyd,CIN,166.37,WR
94,32,Deebo Samuel,SF,165.81,WR
96,34,Jerry Jeudy,DEN,164.25,WR
97,36,Michael Gallup,DAL,160.53,WR
98,40,Laviska Shenault Jr.,JAC,156.77999999999997,WR
99,42,Jarvis Landry,CLE,156.51,WR
100,38,Marquise Brown,BAL,154.68,WR
104,41,Curtis Samuel,WAS,151.59,WR
105,39,Mike Williams,LAC,151.42000000000004,WR
4,0,Christian McCaffrey,CAR,345.9,RB
10,1,Dalvin Cook,MIN,307.05999999999995,RB
13,2,Derrick Henry,TEN,286.53,RB
18,3,Alvin Kamara,NO,278.99,RB
29,7,Saquon Barkley,NYG,254.7,RB
30,8,Ezekiel Elliott,DAL,252.2,RB
31,6,Aaron Jones,GB,251.78,RB
34,4,Jonathan Taylor,IND,250.86,RB
40,12,Austin Ekeler,LAC,242.01,RB
41,5,Nick Chubb,CLE,241.99,RB
42,9,Joe Mixon,CIN,239.8,RB
44,10,Najee Harris,PIT,234.74,RB
48,11,Antonio Gibson,WAS,228.58,RB
51,13,Clyde Edwards-Helaire,KC,217.52,RB
52,14,Chris Carson,SEA,214.07,RB
54,19,D'Andre Swift,DET,211.69000000000003,RB
55,16,David Montgomery,CHI,210.1,RB
58,15,J.K. Dobbins,BAL,207.65,RB
60,18,Miles Sanders,PHI,207.28,RB
63,17,Josh Jacobs,LV,205.11,RB
69,20,Darrell Henderson,LAR,197.52,RB
74,22,Mike Davis,ATL,190.53000000000003,RB
75,21,James Robinson,JAC,189.22,RB
77,23,Chase Edmonds,ARI,183.89,RB
