,level_0,index,Player,Team,FP,POS,Price
0,4,0,Christian McCaffrey,CAR,345.9,RB,78.34401553
1,28,1,Travis Kelce,KC,255.73,TE,73.69164379
2,10,1,Dalvin Cook,MIN,307.06,RB,64.86957218
3,16,2,Davante Adams,GB,282.71,WR,62.65678533
4,17,1,Tyreek Hill,KC,279.17,WR,60.9453673
5,13,2,Derrick Henry,TEN,286.53,RB,55.97362105
6,18,3,Alvin Kamara,NO,278.99,RB,52.52084263
7,27,3,Stefon Diggs,BUF,259.94,WR,51.14414679
8,32,5,DeAndre Hopkins,ARI,251.5,WR,46.66424376
9,61,2,George Kittle,SF,206.89,TE,45.49810034
10,62,3,Darren Waller,LV,205.4,TE,44.53508968
11,38,4,Calvin Ridley,ATL,245.71,WR,43.56245836
12,29,7,Saquon Barkley,NYG,254.7,RB,41.06970859
13,30,8,Ezekiel Elliott,DAL,252.2,RB,39.88257729
14,31,6,Aaron Jones,GB,251.78,RB,39.68327116
15,34,4,Jonathan Taylor,IND,250.86,RB,39.24686937
16,45,7,Justin Jefferson,MIN,231.87,WR,36.1493221
17,0,1,Josh Allen,BUF,380.29,QB,35.72314769
18,47,6,D.K. Metcalf,SEA,230.14,WR,35.22996753
19,40,12,Austin Ekeler,LAC,242.01,RB,35.06865992
20,41,5,Nick Chubb,CLE,241.99,RB,35.05927324
21,42,9,Joe Mixon,CIN,239.8,RB,34.03341202
22,49,8,A.J. Brown,TEN,226.83,WR,33.47941157
23,1,2,Patrick Mahomes,KC,377.232,QB,33.3650392
24,50,9,Keenan Allen,LAC,224.21,WR,32.1031196
25,44,10,Najee Harris,PIT,234.74,RB,31.68046806
26,48,11,Antonio Gibson,WAS,228.58,RB,28.85663891
27,53,11,Allen Robinson II,CHI,212.7,WR,26.190072
28,56,12,Terry McLaurin,WAS,208.81,WR,24.25417305
29,51,13,Clyde Edwards-Helaire,KC,217.52,RB,23.9352008
30,57,13,Amari Cooper,DAL,207.76,WR,23.73810647
31,59,15,Robert Woods,LAR,207.38,WR,23.55205409
32,52,14,Chris Carson,SEA,214.07,RB,22.44803921
33,64,10,Mike Evans,TB,204.44,WR,22.12596341
34,54,19,D'Andre Swift,DET,211.69,RB,21.43744517
35,92,4,Mark Andrews,BAL,168.1,TE,21.21577708
36,65,17,Tyler Lockett,SEA,202.26,WR,21.08457305
37,55,16,David Montgomery,CHI,210.1,RB,20.76968015
38,2,3,Kyler Murray,ARI,358.604,QB,19.77325234
39,58,15,J.K. Dobbins,BAL,207.65,RB,19.75285506
40,60,18,Miles Sanders,PHI,207.28,RB,19.60061122
41,67,14,Adam Thielen,MIN,198.91,WR,19.51286844
42,68,16,CeeDee Lamb,DAL,198.71,WR,19.42018205
43,70,20,Cooper Kupp,LAR,197.49,WR,18.85769613
44,63,17,Josh Jacobs,LV,205.11,RB,18.71491922
45,71,19,D.J. Moore,CAR,193.18,WR,16.91216835
46,72,21,Chris Godwin,TB,191.43,WR,16.1417
47,73,18,Julio Jones,TEN,191.01,WR,15.95853527
48,69,20,Darrell Henderson,LAR,197.52,RB,15.72025797
49,101,5,Kyle Pitts,ATL,154.67,TE,13.96897783
50,74,22,Mike Davis,ATL,190.53,RB,13.119089
51,3,4,Lamar Jackson,BAL,348.086,QB,13.06608843
52,78,23,Tee Higgins,CIN,183.47,WR,12.79264855
53,79,29,Diontae Johnson,PIT,183.39,WR,12.7603621
54,75,21,James Robinson,JAC,189.22,RB,12.64982006
55,106,6,T.J. Hockenson,DET,150.84,TE,12.09273594
56,81,25,Courtland Sutton,DEN,180.06,WR,11.44227686
57,82,24,Odell Beckham Jr.,CLE,179.45,WR,11.206415
58,83,22,Kenny Golladay,NYG,179.43,WR,11.19871174
59,77,23,Chase Edmonds,ARI,183.89,RB,10.80397142
60,84,26,Brandon Aiyuk,SF,176.39,WR,10.05033546
61,85,27,Ja'Marr Chase,CIN,175.63,WR,9.770369818
62,5,5,Dak Prescott,DAL,341.552,QB,9.404325057
63,86,30,Brandin Cooks,HOU,173.71,WR,9.076156031
64,87,35,JuJu Smith-Schuster,PIT,173.24,WR,8.909115144
65,88,28,Chase Claypool,PIT,171.04,WR,8.142706166
66,89,33,Robby Anderson,CAR,170.77,WR,8.050429353
67,91,31,DJ Chark Jr.,JAC,169.09,WR,7.485188022
68,90,24,Myles Gaskin,MIA,170.59,RB,6.685051831
69,93,37,Tyler Boyd,CIN,166.37,WR,6.603339211
70,94,32,Deebo Samuel,SF,165.81,WR,6.427007029
71,96,34,Jerry Jeudy,DEN,164.25,WR,5.945403122
72,6,6,Russell Wilson,SEA,333.172,QB,5.396944587
73,95,25,Kareem Hunt,CLE,165.53,RB,5.319637058
74,7,7,Aaron Rodgers,GB,332.856,QB,5.262592368
75,97,36,Michael Gallup,DAL,160.53,WR,4.85545061
76,8,8,Justin Herbert,LAC,329.684,QB,3.986518743
77,98,40,Laviska Shenault Jr.,JAC,156.78,WR,3.843275931
78,99,42,Jarvis Landry,CLE,156.51,WR,3.773858338
79,126,9,Logan Thomas,WAS,129.85,TE,3.746691257
80,127,8,Tyler Higbee,LAR,129.47,TE,3.630257601
81,100,38,Marquise Brown,BAL,154.68,WR,3.315888611
