,index,Player,Team,FP,POS,Value,FLX_Value
2,0,Aaron Rodgers,GB,324.58200000000005,QB,2.499146170466805,-1.410938730650838
5,1,Tom Brady,NE,304.73,QB,1.5255967939611041,-1.410938730650838
6,2,Russell Wilson,SEA,299.366,QB,1.262544262449085,-1.410938730650838
9,3,Deshaun Watson,HOU,289.002,QB,0.7542898932114745,-1.410938730650838
10,4,Cam Newton,CAR,287.45,QB,0.678179242781449,-1.410938730650838
11,5,Drew Brees,NO,282.92799999999994,QB,0.4564187007424192,-1.410938730650838
17,6,Andrew Luck,IND,268.15,QB,-0.26829985083934543,-1.410938730650838
18,7,Matthew Stafford,DET,267.77000000000004,QB,-0.2869351905064876,-1.410938730650838
19,8,Carson Wentz,PHI,267.46599999999995,QB,-0.30184346224020797,-1.410938730650838
20,9,Ben Roethlisberger,PIT,267.004,QB,-0.32450011204604956,-1.410938730650838
21,11,Alex Smith,WAS,266.244,QB,-0.36177079138033946,-1.410938730650838
23,10,Kirk Cousins,MIN,265.926,QB,-0.3773656282596892,-1.410938730650838
25,12,Jimmy Garoppolo,SF,261.964,QB,-0.5716635644734496,-1.410938730650838
26,13,Philip Rivers,LAC,260.408,QB,-0.6479703763736537,-1.410938730650838
28,14,Matt Ryan,ATL,258.844,QB,-0.7246695112142206,-1.410938730650838
29,15,Jared Goff,LAR,254.65,QB,-0.9303448126984486,-1.410938730650838
32,16,Marcus Mariota,TEN,249.50000000000009,QB,-1.1829027055558068,-1.410938730650838
33,17,Dak Prescott,DAL,249.19400000000002,QB,-1.1979090580246166,-1.410938730650838
0,2,Le'Veon Bell,PIT,349.69,RB,3.214494874717335,3.214494874717335
1,1,Todd Gurley,LAR,344.45,RB,3.116629193564806,3.116629193564806
3,4,David Johnson,ARI,324.26,RB,2.7395474946202327,2.7395474946202327
7,5,Alvin Kamara,NO,294.8900000000001,RB,2.191014087091651,2.191014087091651
8,3,Ezekiel Elliott,DAL,290.45,RB,2.108089731305918,2.108089731305918
14,6,Melvin Gordon,LAC,274.88,RB,1.8172941863546053,1.8172941863546053
24,7,Kareem Hunt,KC,264.46,RB,1.6226834234520566,1.6226834234520566
27,9,Saquon Barkley,NYG,259.61,RB,1.5321016384158423,1.5321016384158423
30,12,Christian McCaffrey,CAR,251.41,RB,1.3789530534061591,1.3789530534061591
31,8,Leonard Fournette,JAC,250.12000000000003,RB,1.3548601662521975,1.3548601662521975
34,10,Dalvin Cook,MIN,248.17,RB,1.3184406856706257,1.3184406856706257
41,11,Devonta Freeman,ATL,234.0,RB,1.0537924601112103,1.0537924601112103
50,15,Jerick McKinnon,SF,224.3,RB,0.8726288900387805,0.8726288900387805
60,14,LeSean McCoy,BUF,213.67,RB,0.6740960292274472,0.6740960292274472
64,13,Jordan Howard,CHI,200.93,RB,0.43615542276118396,0.43615542276118396
65,16,Joe Mixon,CIN,200.24,RB,0.4232685296323204,0.4232685296323204
72,19,Kenyan Drake,MIA,192.26,RB,0.2742288090985066,0.2742288090985066
74,17,Alex Collins,BAL,189.38,RB,0.22044003777803267,0.22044003777803267
